"","X","Gene","Yap_2021","Tyssowski_2018","Hrvatin_2018","n_Yap_methods","na_sums"
"602",602,"Pdrg1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"603",603,"Rcan1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"604",604,"Cdh9","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"605",605,"Tulp4","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"606",606,"R3hdm1","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_SRGs",3,2
"607",607,"Tpt1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_SRGs",1,2
"608",608,"Slc6a17","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"609",609,"Ptp4a2","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"610",610,"Zfc3h1","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,3,1
"611",611,"Rbm14","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"612",612,"Naca","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"613",613,"Mylk","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"614",614,"Stk38l","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"615",615,"Hars","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"616",616,"Gsg1l","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"617",617,"Ptpn23","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"618",618,"Lman2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"619",619,"Med13","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"620",620,"Pla2g7","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"621",621,"Spred2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"622",622,"Zfp655","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"623",623,"Stx4a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"624",624,"Gpr56","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"625",625,"Gpr85","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"626",626,"Mir124-2hg","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"627",627,"Gm4128","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"628",628,"Ndst3","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"629",629,"4933413L06Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"630",630,"Ddit4l","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"631",631,"Gm20186","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"632",632,"Sema3e","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_SRGs",NA,1,2
"633",633,"Gm11146","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"634",634,"Hcn1","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs",1,2
"635",635,"RP23-407N2.2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"636",636,"Dlg1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"637",637,"Htr1b","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"638",638,"Epha7","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"639",639,"Bmpr1b","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"640",640,"Htr2a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"641",641,"Gm26658","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"642",642,"Zfp804a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"643",643,"Gm26905","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"644",644,"Robo1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"645",645,"Serpini1","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"646",646,"Cnr1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"647",647,"Kcnh7","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"648",648,"Rims2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"649",649,"Trpc5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"650",650,"Dpysl3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"651",651,"Gpr22","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_dPRGs",NA,1,2
"652",652,"Arl4a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"653",653,"Cdh10","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"654",654,"Ptprk","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"655",655,"Pcdh17","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs",1,2
"656",656,"Lsm11","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"657",657,"Kcna4","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_SRGs",NA,1,2
"658",658,"Gm44188","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"659",659,"Gpm6a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"660",660,"Syt10","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"661",661,"C1ql3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"662",662,"Gm21798","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"663",663,"Hcrtr2","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_dPRGs",NA,1,2
"664",664,"Kcnj3","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_dPRGs",NA,1,2
"665",665,"Etv1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"666",666,"Cep85l","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"667",667,"Epha6","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"668",668,"Scn1a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"669",669,"Pls3","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs",1,2
"670",670,"Neto1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"671",671,"Gfra1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"672",672,"Trpc5os","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"673",673,"Omg","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_SRGs",NA,1,2
"674",674,"Ptpdc1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"675",675,"Wls","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"676",676,"Slc26a4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"677",677,"Nr2f1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"678",678,"Galntl6","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"679",679,"Nrsn1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"680",680,"Gm26652","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"681",681,"4732440D04Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"682",682,"Gm20754","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"683",683,"Gm26719","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"684",684,"Itga8","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"685",685,"3110039M20Rik.1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"686",686,"Epha5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"687",687,"Calb1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"688",688,"Cntn3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"689",689,"Ndst4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"690",690,"Fam188a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"691",691,"Lrrc4c","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"692",692,"Pde1a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"693",693,"Tmem200a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"694",694,"Mmp16","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"695",695,"Gm16000","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"696",696,"Hdac9","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_SRGs",NA,1,2
"697",697,"Gabrg2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"698",698,"Il12rb2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"699",699,"Lgi1","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs (sec)",1,2
"700",700,"Plpp3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"701",701,"Nyap2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"702",702,"Sparcl1","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"703",703,"Gm38112","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"704",704,"Micu3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"705",705,"Adcy8","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"706",706,"Rab3c","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"707",707,"Lsm8","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"708",708,"Pcdh9","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"709",709,"Cacna2d1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"710",710,"Rfxap","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"711",711,"Gria2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"712",712,"Slitrk5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"713",713,"Zfp281","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"714",714,"Gpr63","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_SRGs",NA,1,2
"715",715,"Khdrbs2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"716",716,"Gm15345","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"717",717,"Slc7a14","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"718",718,"Gm28376","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"719",719,"Nectin3","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"720",720,"Dmd","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"721",721,"Jakmip2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"722",722,"Mpzl3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"723",723,"Lmo3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"724",724,"Tnfrsf23","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"725",725,"Kctd4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"726",726,"Satb2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"727",727,"4933411O13Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"728",728,"Gm2464.1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"729",729,"RP24-236C17.3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"730",730,"A230006K03Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"731",731,"4930509J09Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"732",732,"Sox5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"733",733,"B3galt2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"734",734,"Gabra2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"735",735,"Gabra1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"736",736,"Gabrb1","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs",1,2
"737",737,"Cntnap2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"738",738,"Bcl9","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"739",739,"Ppp4r4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"740",740,"Hspa4l","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"741",741,"Galnt3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"742",742,"4921539H07Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"743",743,"Rspo3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"744",744,"Lrfn5","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"745",745,"Lurap1l","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"746",746,"Tmem246","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"747",747,"Alcam","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_PRGs",1,2
"748",748,"Kirrel3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"749",749,"Dcbld2","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs",1,2
"750",750,"Gm30382","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"751",751,"Slit2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"752",752,"Vmp1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"753",753,"Fbn2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"754",754,"1-Mar","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"755",755,"Jph1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"756",756,"Nek9","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"757",757,"Fam135b","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"758",758,"Gm43376","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"759",759,"Chrm3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"760",760,"Gm1604b","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"761",761,"Gm1604a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"762",762,"Csrnp3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"763",763,"Scn2a1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"764",764,"Phf6","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"765",765,"Il1rapl1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"766",766,"Rab3ip","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"767",767,"Gnai1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"768",768,"Fras1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"769",769,"Jak2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"770",770,"Gm28750","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"771",771,"Tox","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"772",772,"Gm15398","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"773",773,"Gpc4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"774",774,"Csmd3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"775",775,"Gap43","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"776",776,"Plppr4","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_SRGs",2,2
"777",777,"Zufsp","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"778",778,"Gm26854","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"779",779,"Syt1","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"780",780,"Uty","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"781",781,"Zbtb20","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"782",782,"Nrxn1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"783",783,"Pak3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"784",784,"Usp25","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"785",785,"Dlg2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"786",786,"Fbn1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"787",787,"4930545L23Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"788",788,"Nf2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"789",789,"Cnksr2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"790",790,"B630005N14Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"791",791,"Nap1l3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"792",792,"Kcnd2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"793",793,"Gcnt2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"794",794,"Cttnbp2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"795",795,"Lrrc7","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"796",796,"C130071C03Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"797",797,"Ppp1r12a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"798",798,"Sntg1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"799",799,"Ddx26b","FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs",1,2
"800",800,"Efnb2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"801",801,"Cdc14b","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"802",802,"Gm37459","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"803",803,"Sgtb","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"804",804,"Pex5l","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"805",805,"Gm26936","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"806",806,"Dbpht2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"807",807,"Plppr5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"808",808,"Lsamp","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"809",809,"Nfib","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"810",810,"Zeb2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"811",811,"Tusc3","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"812",812,"Tenm3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"813",813,"Ldb2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"814",814,"1810034E14Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"815",815,"Apba1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"816",816,"Flrt2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"817",817,"Robo2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"818",818,"Ppfia2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"819",819,"Thap2","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"820",820,"Pcsk5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"821",821,"Clvs1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"822",822,"Gabrb2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"823",823,"Gm17202","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"824",824,"Lix1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"825",825,"Naf1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"826",826,"Stxbp5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"827",827,"Csnk1g3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"828",828,"Gm15594","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"829",829,"Slc4a10","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"830",830,"Ankrd28","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"831",831,"Rapgef5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"832",832,"Slitrk3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"833",833,"4930419G24Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"834",834,"Dock4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"835",835,"4930554G24Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"836",836,"Cadm2","FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"837",837,"Adgrb3","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"838",838,"Fam171b","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"839",839,"Tcaf1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"840",840,"Cers6","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"841",841,"Arl13b","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"842",842,"Zdhhc2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"843",843,"Stxbp5l","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"844",844,"Ralyl","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"845",845,"Ubr1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"846",846,"Pkn2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"847",847,"Dnah9","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"848",848,"Ypel5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"849",849,"Gm1992","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"850",850,"C530008M17Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"851",851,"Dip2c","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"852",852,"Cmtm4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"853",853,"Ephx4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"854",854,"Osbpl8","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"855",855,"4930512B01Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"856",856,"Cyb5a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"857",857,"Gm12027","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"858",858,"Parm1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"859",859,"Gm13269","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"860",860,"Hectd2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"861",861,"Nab1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"862",862,"Gda","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"863",863,"Tbc1d23","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"864",864,"1700086L19Rik","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"865",865,"Trpc4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"866",866,"Ncoa7","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"867",867,"Grm5","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"868",868,"Kcnip4","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"869",869,"Dtna","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"870",870,"Slitrk4","FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_SRGs",NA,1,2
"871",871,"Lrp1b","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"872",872,"Oxr1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"873",873,"Pak7","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"874",874,"Crebzf","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"875",875,"Magi2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"876",876,"Tbc1d9","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"877",877,"Gmcl1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"878",878,"Runx1t1","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"879",879,"Myo16","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"880",880,"Lats2","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"881",881,"Zfand6","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
"882",882,"Man1a","FFJ KO snRNAseq_affected by AP1 KO",NA,NA,1,1
